,,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt,unknown,NF
fer0032220.png,"(0, 0, 48, 48)",10,0,0,0,0,0,0,0,0,0
fer0032222.png,"(0, 0, 48, 48)",5,2,3,0,0,0,0,0,0,0
fer0032223.png,"(0, 0, 48, 48)",4,0,0,5,0,0,1,0,0,0
fer0032224.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032225.png,"(0, 0, 48, 48)",3,0,0,1,3,2,0,2,0,0
fer0032226.png,"(0, 0, 48, 48)",0,5,5,0,0,0,0,0,0,0
fer0032227.png,"(0, 0, 48, 48)",6,0,0,1,0,0,0,1,2,0
fer0032228.png,"(0, 0, 48, 48)",5,0,0,4,0,0,0,1,0,0
fer0032229.png,"(0, 0, 48, 48)",2,2,4,2,0,0,0,0,0,0
fer0032230.png,"(0, 0, 48, 48)",1,0,4,1,0,0,4,0,0,0
fer0032231.png,"(0, 0, 48, 48)",2,0,4,2,0,0,2,0,0,0
fer0032232.png,"(0, 0, 48, 48)",0,4,1,2,0,0,0,3,0,0
fer0032233.png,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0032234.png,"(0, 0, 48, 48)",2,5,2,1,0,0,0,0,0,0
fer0032235.png,"(0, 0, 48, 48)",5,1,0,4,0,0,0,0,0,0
fer0032236.png,"(0, 0, 48, 48)",0,0,0,0,2,4,2,2,0,0
fer0032237.png,"(0, 0, 48, 48)",5,3,0,0,0,0,0,0,2,0
fer0032238.png,"(0, 0, 48, 48)",0,6,3,0,0,0,1,0,0,0
fer0032239.png,"(0, 0, 48, 48)",2,0,4,1,0,0,3,0,0,0
fer0032240.png,"(0, 0, 48, 48)",3,0,0,5,0,0,2,0,0,0
fer0032241.png,"(0, 0, 48, 48)",4,0,0,2,0,3,1,0,0,0
fer0032242.png,"(0, 0, 48, 48)",0,0,4,2,0,0,4,0,0,0
fer0032243.png,"(0, 0, 48, 48)",3,2,2,2,0,1,0,0,0,0
fer0032244.png,"(0, 0, 48, 48)",0,4,6,0,0,0,0,0,0,0
fer0032245.png,"(0, 0, 48, 48)",0,3,3,0,3,0,0,0,1,0
fer0032246.png,"(0, 0, 48, 48)",0,4,1,2,0,0,3,0,0,0
fer0032247.png,"(0, 0, 48, 48)",3,3,3,1,0,0,0,0,0,0
fer0032248.png,"(0, 0, 48, 48)",1,3,5,0,0,0,1,0,0,0
fer0032249.png,"(0, 0, 48, 48)",0,7,2,1,0,0,0,0,0,0
fer0032250.png,"(0, 0, 48, 48)",3,5,2,0,0,0,0,0,0,0
fer0032251.png,"(0, 0, 48, 48)",2,0,5,0,0,0,3,0,0,0
fer0032252.png,"(0, 0, 48, 48)",0,4,2,0,1,0,0,1,2,0
fer0032253.png,"(0, 0, 48, 48)",0,8,2,0,0,0,0,0,0,0
fer0032254.png,"(0, 0, 48, 48)",0,6,3,0,0,0,1,0,0,0
fer0032255.png,"(0, 0, 48, 48)",2,4,4,0,0,0,0,0,0,0
fer0032256.png,"(0, 0, 48, 48)",1,4,3,0,0,0,0,2,0,0
fer0032257.png,"(0, 0, 48, 48)",1,1,0,2,0,4,0,2,0,0
fer0032258.png,"(0, 0, 48, 48)",2,0,0,4,0,0,4,0,0,0
fer0032259.png,"(0, 0, 48, 48)",0,0,3,1,0,0,6,0,0,0
fer0032260.png,"(0, 0, 48, 48)",0,0,0,3,2,0,3,2,0,0
fer0032261.png,"(0, 0, 48, 48)",1,0,7,0,0,0,2,0,0,0
fer0032262.png,"(0, 0, 48, 48)",0,5,2,2,0,1,0,0,0,0
fer0032263.png,"(0, 0, 48, 48)",4,0,0,1,0,0,4,1,0,0
fer0032264.png,"(0, 0, 48, 48)",0,3,2,2,0,3,0,0,0,0
fer0032265.png,"(0, 0, 48, 48)",3,0,3,2,0,0,2,0,0,0
fer0032266.png,"(0, 0, 48, 48)",2,4,2,0,2,0,0,0,0,0
fer0032267.png,"(0, 0, 48, 48)",0,1,0,0,3,3,0,3,0,0
fer0032268.png,"(0, 0, 48, 48)",0,0,0,0,4,4,0,2,0,0
fer0032269.png,"(0, 0, 48, 48)",5,3,1,0,0,0,1,0,0,0
fer0032270.png,"(0, 0, 48, 48)",4,2,2,0,0,0,2,0,0,0
fer0032271.png,"(0, 0, 48, 48)",6,2,2,0,0,0,0,0,0,0
fer0032272.png,"(0, 0, 48, 48)",2,4,4,0,0,0,0,0,0,0
fer0032273.png,"(0, 0, 48, 48)",3,6,1,0,0,0,0,0,0,0
fer0032274.png,"(0, 0, 48, 48)",0,4,4,0,2,0,0,0,0,0
fer0032275.png,"(0, 0, 48, 48)",4,2,4,0,0,0,0,0,0,0
fer0032276.png,"(0, 0, 48, 48)",0,4,0,0,2,3,0,1,0,0
fer0032277.png,"(0, 0, 48, 48)",6,2,0,2,0,0,0,0,0,0
fer0032278.png,"(0, 0, 48, 48)",0,6,3,0,0,1,0,0,0,0
fer0032279.png,"(0, 0, 48, 48)",2,0,6,2,0,0,0,0,0,0
fer0032280.png,"(0, 0, 48, 48)",2,0,0,4,0,0,4,0,0,0
fer0032281.png,"(0, 0, 48, 48)",4,0,3,2,0,0,1,0,0,0
fer0032282.png,"(0, 0, 48, 48)",4,0,4,1,0,0,1,0,0,0
fer0032283.png,"(0, 0, 48, 48)",2,0,0,1,2,2,0,3,0,0
fer0032284.png,"(0, 0, 48, 48)",0,0,5,3,0,0,2,0,0,0
fer0032285.png,"(0, 0, 48, 48)",2,6,2,0,0,0,0,0,0,0
fer0032286.png,"(0, 0, 48, 48)",0,4,2,0,0,0,0,4,0,0
fer0032287.png,"(0, 0, 48, 48)",3,2,2,0,0,0,0,3,0,0
fer0032288.png,"(0, 0, 48, 48)",0,4,2,0,0,2,0,2,0,0
fer0032289.png,"(0, 0, 48, 48)",0,0,5,2,0,0,3,0,0,0
fer0032290.png,"(0, 0, 48, 48)",0,0,5,4,1,0,0,0,0,0
fer0032291.png,"(0, 0, 48, 48)",3,0,4,2,0,0,1,0,0,0
fer0032292.png,"(0, 0, 48, 48)",0,2,3,3,0,2,0,0,0,0
fer0032293.png,"(0, 0, 48, 48)",6,0,0,2,0,0,0,2,0,0
fer0032294.png,"(0, 0, 48, 48)",6,0,0,3,0,0,0,1,0,0
fer0032295.png,"(0, 0, 48, 48)",4,0,0,0,0,4,0,2,0,0
fer0032296.png,"(0, 0, 48, 48)",0,4,0,0,1,0,0,2,3,0
fer0032297.png,"(0, 0, 48, 48)",0,6,0,1,0,0,0,2,1,0
fer0032298.png,"(0, 0, 48, 48)",0,5,0,2,0,3,0,0,0,0
fer0032299.png,"(0, 0, 48, 48)",4,4,0,0,0,0,0,0,2,0
fer0032300.png,"(0, 0, 48, 48)",4,0,0,2,0,1,0,3,0,0
fer0032301.png,"(0, 0, 48, 48)",2,2,0,0,0,3,0,3,0,0
fer0032302.png,"(0, 0, 48, 48)",0,0,3,2,0,3,0,2,0,0
fer0032303.png,"(0, 0, 48, 48)",0,3,0,4,0,0,1,2,0,0
fer0032304.png,"(0, 0, 48, 48)",3,3,0,0,0,3,0,1,0,0
fer0032305.png,"(0, 0, 48, 48)",1,4,0,0,0,2,0,0,3,0
fer0032306.png,"(0, 0, 48, 48)",3,2,1,2,0,1,0,1,0,0
fer0032307.png,"(0, 0, 48, 48)",1,5,0,0,0,1,0,3,0,0
fer0032308.png,"(0, 0, 48, 48)",0,4,1,2,0,0,1,2,0,0
fer0032309.png,"(0, 0, 48, 48)",1,5,0,0,0,1,0,3,0,0
fer0032310.png,"(0, 0, 48, 48)",0,1,0,0,0,2,2,5,0,0
fer0032311.png,"(0, 0, 48, 48)",4,1,0,1,0,2,0,2,0,0
fer0032312.png,"(0, 0, 48, 48)",0,4,0,1,0,1,1,1,2,0
fer0032313.png,"(0, 0, 48, 48)",3,5,0,0,0,0,0,2,0,0
fer0032314.png,"(0, 0, 48, 48)",4,2,0,2,0,0,2,0,0,0
fer0032315.png,"(0, 0, 48, 48)",1,5,0,2,0,0,0,2,0,0
fer0032316.png,"(0, 0, 48, 48)",1,3,2,2,0,0,2,0,0,0
fer0032317.png,"(0, 0, 48, 48)",2,3,0,0,0,0,0,3,2,0
fer0032318.png,"(0, 0, 48, 48)",6,0,0,2,1,0,0,1,0,0
fer0032319.png,"(0, 0, 48, 48)",2,5,0,0,0,3,0,0,0,0
fer0032320.png,"(0, 0, 48, 48)",3,7,0,0,0,0,0,0,0,0
fer0032321.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032322.png,"(0, 0, 48, 48)",3,6,0,1,0,0,0,0,0,0
fer0032323.png,"(0, 0, 48, 48)",7,0,0,3,0,0,0,0,0,0
fer0032324.png,"(0, 0, 48, 48)",7,0,0,0,0,0,0,3,0,0
fer0032325.png,"(0, 0, 48, 48)",5,4,0,1,0,0,0,0,0,0
fer0032326.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032327.png,"(0, 0, 48, 48)",5,0,5,0,0,0,0,0,0,0
fer0032328.png,"(0, 0, 48, 48)",5,0,4,1,0,0,0,0,0,0
fer0032329.png,"(0, 0, 48, 48)",6,0,3,0,0,0,1,0,0,0
fer0032330.png,"(0, 0, 48, 48)",4,2,0,1,0,0,0,3,0,0
fer0032331.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032332.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032333.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032334.png,"(0, 0, 48, 48)",4,0,0,6,0,0,0,0,0,0
fer0032335.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032336.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032337.png,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0032338.png,"(0, 0, 48, 48)",2,7,0,0,1,0,0,0,0,0
fer0032339.png,"(0, 0, 48, 48)",3,7,0,0,0,0,0,0,0,0
fer0032340.png,"(0, 0, 48, 48)",9,0,0,1,0,0,0,0,0,0
fer0032341.png,"(0, 0, 48, 48)",6,4,0,0,0,0,0,0,0,0
fer0032342.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032343.png,"(0, 0, 48, 48)",4,0,0,0,6,0,0,0,0,0
fer0032344.png,"(0, 0, 48, 48)",2,4,0,0,4,0,0,0,0,0
fer0032345.png,"(0, 0, 48, 48)",1,5,0,0,0,0,0,2,2,0
fer0032346.png,"(0, 0, 48, 48)",0,4,0,0,6,0,0,0,0,0
fer0032347.png,"(0, 0, 48, 48)",3,5,2,0,0,0,0,0,0,0
fer0032348.png,"(0, 0, 48, 48)",2,7,0,1,0,0,0,0,0,0
fer0032349.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032350.png,"(0, 0, 48, 48)",3,5,0,0,0,1,0,1,0,0
fer0032351.png,"(0, 0, 48, 48)",0,4,0,0,1,3,0,2,0,0
fer0032352.png,"(0, 0, 48, 48)",2,7,0,1,0,0,0,0,0,0
fer0032353.png,"(0, 0, 48, 48)",3,5,0,0,0,0,0,0,2,0
fer0032354.png,"(0, 0, 48, 48)",7,2,0,1,0,0,0,0,0,0
fer0032355.png,"(0, 0, 48, 48)",7,2,0,1,0,0,0,0,0,0
fer0032356.png,"(0, 0, 48, 48)",1,0,0,0,0,6,0,3,0,0
fer0032357.png,"(0, 0, 48, 48)",6,0,0,1,3,0,0,0,0,0
fer0032358.png,"(0, 0, 48, 48)",7,0,0,1,2,0,0,0,0,0
fer0032359.png,"(0, 0, 48, 48)",0,9,0,1,0,0,0,0,0,0
fer0032360.png,"(0, 0, 48, 48)",7,0,0,3,0,0,0,0,0,0
fer0032361.png,"(0, 0, 48, 48)",7,0,0,0,0,0,0,3,0,0
fer0032362.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032363.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032364.png,"(0, 0, 48, 48)",5,0,0,1,4,0,0,0,0,0
fer0032365.png,"(0, 0, 48, 48)",1,7,0,0,0,0,0,2,0,0
fer0032366.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032367.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032368.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032369.png,"(0, 0, 48, 48)",0,7,0,0,0,0,0,3,0,0
fer0032370.png,"(0, 0, 48, 48)",0,8,0,2,0,0,0,0,0,0
fer0032371.png,"(0, 0, 48, 48)",4,0,0,1,2,0,0,3,0,0
fer0032372.png,"(0, 0, 48, 48)",0,5,0,0,0,0,0,5,0,0
fer0032373.png,"(0, 0, 48, 48)",0,5,0,0,0,0,0,5,0,0
fer0032374.png,"(0, 0, 48, 48)",0,7,0,1,0,2,0,0,0,0
fer0032375.png,"(0, 0, 48, 48)",3,4,0,1,0,2,0,0,0,0
fer0032376.png,"(0, 0, 48, 48)",0,8,0,0,0,0,0,2,0,0
fer0032377.png,"(0, 0, 48, 48)",4,3,0,3,0,0,0,0,0,0
fer0032378.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032379.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032380.png,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0032381.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032382.png,"(0, 0, 48, 48)",4,2,0,0,3,0,0,1,0,0
fer0032383.png,"(0, 0, 48, 48)",0,8,0,0,2,0,0,0,0,0
fer0032384.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032385.png,"(0, 0, 48, 48)",2,7,0,1,0,0,0,0,0,0
fer0032386.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032387.png,"(0, 0, 48, 48)",5,0,0,0,5,0,0,0,0,0
fer0032388.png,"(0, 0, 48, 48)",0,7,0,0,0,0,0,3,0,0
fer0032389.png,"(0, 0, 48, 48)",1,7,0,0,0,0,0,2,0,0
fer0032390.png,"(0, 0, 48, 48)",0,9,0,0,1,0,0,0,0,0
fer0032391.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032392.png,"(0, 0, 48, 48)",6,3,0,1,0,0,0,0,0,0
fer0032393.png,"(0, 0, 48, 48)",6,3,0,1,0,0,0,0,0,0
fer0032394.png,"(0, 0, 48, 48)",6,3,0,1,0,0,0,0,0,0
fer0032395.png,"(0, 0, 48, 48)",7,3,0,0,0,0,0,0,0,0
fer0032396.png,"(0, 0, 48, 48)",2,5,0,0,0,0,0,0,3,0
fer0032397.png,"(0, 0, 48, 48)",4,0,0,0,6,0,0,0,0,0
fer0032398.png,"(0, 0, 48, 48)",8,0,0,0,2,0,0,0,0,0
fer0032399.png,"(0, 0, 48, 48)",7,0,0,0,0,0,0,0,3,0
fer0032400.png,"(0, 0, 48, 48)",7,0,0,3,0,0,0,0,0,0
fer0032401.png,"(0, 0, 48, 48)",3,7,0,0,0,0,0,0,0,0
fer0032402.png,"(0, 0, 48, 48)",1,6,0,0,0,0,0,3,0,0
fer0032403.png,"(0, 0, 48, 48)",1,6,0,0,0,0,0,3,0,0
fer0032404.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032405.png,"(0, 0, 48, 48)",3,6,0,0,0,0,1,0,0,0
fer0032406.png,"(0, 0, 48, 48)",3,6,1,0,0,0,0,0,0,0
fer0032407.png,"(0, 0, 48, 48)",5,5,0,0,0,0,0,0,0,0
fer0032408.png,"(0, 0, 48, 48)",4,5,0,0,0,0,0,0,1,0
fer0032409.png,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0032410.png,"(0, 0, 48, 48)",5,0,0,0,5,0,0,0,0,0
fer0032411.png,"(0, 0, 48, 48)",0,7,0,0,0,0,0,3,0,0
fer0032412.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032413.png,"(0, 0, 48, 48)",1,6,0,0,0,0,0,3,0,0
fer0032414.png,"(0, 0, 48, 48)",4,4,0,2,0,0,0,0,0,0
fer0032415.png,"(0, 0, 48, 48)",1,6,0,0,0,0,0,3,0,0
fer0032416.png,"(0, 0, 48, 48)",1,4,0,0,0,0,0,5,0,0
fer0032417.png,"(0, 0, 48, 48)",4,5,0,1,0,0,0,0,0,0
fer0032418.png,"(0, 0, 48, 48)",3,6,0,0,0,0,0,1,0,0
fer0032419.png,"(0, 0, 48, 48)",2,6,0,2,0,0,0,0,0,0
fer0032420.png,"(0, 0, 48, 48)",2,7,0,1,0,0,0,0,0,0
fer0032421.png,"(0, 0, 48, 48)",2,4,0,0,0,0,0,4,0,0
fer0032422.png,"(0, 0, 48, 48)",3,7,0,0,0,0,0,0,0,0
fer0032423.png,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0032424.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032425.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032426.png,"(0, 0, 48, 48)",4,0,4,0,0,0,2,0,0,0
fer0032427.png,"(0, 0, 48, 48)",0,0,0,0,4,0,4,2,0,0
fer0032428.png,"(0, 0, 48, 48)",0,9,0,1,0,0,0,0,0,0
fer0032429.png,"(0, 0, 48, 48)",0,9,0,0,1,0,0,0,0,0
fer0032430.png,"(0, 0, 48, 48)",3,3,3,0,0,0,0,0,1,0
fer0032431.png,"(0, 0, 48, 48)",0,0,9,0,0,0,1,0,0,0
fer0032432.png,"(0, 0, 48, 48)",0,0,0,0,10,0,0,0,0,0
fer0032433.png,"(0, 0, 48, 48)",2,1,0,0,0,0,0,7,0,0
fer0032434.png,"(0, 0, 48, 48)",4,0,0,6,0,0,0,0,0,0
fer0032435.png,"(0, 0, 48, 48)",4,0,0,2,0,2,0,0,2,0
fer0032436.png,"(0, 0, 48, 48)",5,0,2,3,0,0,0,0,0,0
fer0032437.png,"(0, 0, 48, 48)",6,0,0,2,0,0,0,2,0,0
fer0032438.png,"(0, 0, 48, 48)",6,3,1,0,0,0,0,0,0,0
fer0032439.png,"(0, 0, 48, 48)",5,2,3,0,0,0,0,0,0,0
fer0032440.png,"(0, 0, 48, 48)",5,3,2,0,0,0,0,0,0,0
fer0032441.png,"(0, 0, 48, 48)",5,3,2,0,0,0,0,0,0,0
fer0032442.png,"(0, 0, 48, 48)",0,6,2,0,0,0,0,0,2,0
fer0032443.png,"(0, 0, 48, 48)",7,1,0,1,0,1,0,0,0,0
fer0032444.png,"(0, 0, 48, 48)",5,4,0,0,0,0,0,1,0,0
fer0032445.png,"(0, 0, 48, 48)",0,5,0,0,5,0,0,0,0,0
fer0032446.png,"(0, 0, 48, 48)",6,4,0,0,0,0,0,0,0,0
fer0032447.png,"(0, 0, 48, 48)",6,4,0,0,0,0,0,0,0,0
fer0032448.png,"(0, 0, 48, 48)",6,0,0,2,0,0,2,0,0,0
fer0032449.png,"(0, 0, 48, 48)",0,4,0,0,2,0,0,4,0,0
fer0032450.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032451.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032452.png,"(0, 0, 48, 48)",1,7,0,0,0,0,0,2,0,0
fer0032453.png,"(0, 0, 48, 48)",3,7,0,0,0,0,0,0,0,0
fer0032454.png,"(0, 0, 48, 48)",1,7,0,0,0,0,0,2,0,0
fer0032455.png,"(0, 0, 48, 48)",5,5,0,0,0,0,0,0,0,0
fer0032456.png,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0032457.png,"(0, 0, 48, 48)",2,6,0,0,0,0,0,2,0,0
fer0032458.png,"(0, 0, 48, 48)",5,5,0,0,0,0,0,0,0,0
fer0032459.png,"(0, 0, 48, 48)",3,7,0,0,0,0,0,0,0,0
fer0032460.png,"(0, 0, 48, 48)",2,6,2,0,0,0,0,0,0,0
fer0032461.png,"(0, 0, 48, 48)",8,0,0,2,0,0,0,0,0,0
fer0032462.png,"(0, 0, 48, 48)",0,5,0,0,0,0,0,5,0,0
fer0032463.png,"(0, 0, 48, 48)",0,5,0,0,0,0,0,5,0,0
fer0032464.png,"(0, 0, 48, 48)",5,5,0,0,0,0,0,0,0,0
fer0032465.png,"(0, 0, 48, 48)",4,5,0,0,0,0,0,1,0,0
fer0032466.png,"(0, 0, 48, 48)",4,5,0,0,0,0,0,1,0,0
fer0032467.png,"(0, 0, 48, 48)",1,8,0,0,0,0,0,1,0,0
fer0032468.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032469.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
fer0032470.png,"(0, 0, 48, 48)",0,8,2,0,0,0,0,0,0,0
fer0032471.png,"(0, 0, 48, 48)",0,7,3,0,0,0,0,0,0,0
fer0032472.png,"(0, 0, 48, 48)",4,4,0,0,0,0,0,2,0,0
fer0032473.png,"(0, 0, 48, 48)",6,4,0,0,0,0,0,0,0,0
fer0032474.png,"(0, 0, 48, 48)",2,5,0,0,0,0,0,3,0,0
fer0032475.png,"(0, 0, 48, 48)",2,8,0,0,0,0,0,0,0,0
fer0032476.png,"(0, 0, 48, 48)",3,0,5,0,0,0,2,0,0,0
fer0032477.png,"(0, 0, 48, 48)",3,6,0,0,0,0,0,1,0,0
fer0032478.png,"(0, 0, 48, 48)",1,9,0,0,0,0,0,0,0,0
